Frames,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
0,-0.12618643,-0.124963842,-0.123480529,-0.125192747,-0.288850605,-0.401679546,-0.35187301,-0.348314524,0.030622184,0.10680294,0.062952645,0.036360059,-0.197705299,-0.272949427,-0.209150657,-0.198604897,-0.053059511,0.043323688,-0.032870654,0.01625178,-0.123901568,-0.291439176,-0.33065173,0.045721859,0.082759783
78,-0.128890514,-0.124935873,-0.116562776,-0.114731811,-0.279632539,-0.421307147,-0.344547153,-0.344000489,0.040184315,0.140065834,0.077694707,0.026617099,-0.200378418,-0.263875127,-0.209228173,-0.215716094,-0.055805936,0.038525466,-0.027855204,0.018392451,-0.118849091,-0.320392817,-0.311658293,0.012926671,0.057725005
119,-0.128981173,-0.12295004,-0.113343619,-0.112773776,-0.280210555,-0.423757285,-0.349480242,-0.339670658,0.042268954,0.150396615,0.107394606,0.035990573,-0.200439915,-0.263898641,-0.207882613,-0.218283251,-0.055907782,0.03868128,-0.027575728,0.016900921,-0.115587182,-0.282015324,-0.299070209,0.011777551,0.072966911
158,-0.125930101,-0.117035255,-0.111554563,-0.107343495,-0.27543357,-0.432086676,-0.344434708,-0.323496461,0.05409145,0.167073756,0.104529828,0.09153381,-0.197156221,-0.264781982,-0.208465368,-0.214960828,-0.053003345,0.040921815,-0.03225968,0.016938932,-0.112971708,-0.288359731,-0.268483013,0.087417148,0.112183049
197,-0.126043022,-0.115914293,-0.10624411,-0.106999107,-0.273607105,-0.435905695,-0.353388697,-0.340804338,0.056349926,0.163930818,0.077031657,0.032503817,-0.19785738,-0.267841548,-0.209023833,-0.213805646,-0.052507933,0.042542301,-0.032708395,0.013272643,-0.108729519,-0.314825177,-0.281961143,0.001631291,0.07751631
238,-0.132076874,-0.119344935,-0.106938422,-0.104610786,-0.272240222,-0.438502729,-0.353161722,-0.334174454,0.05912821,0.169610277,0.076982297,0.026165944,-0.204600662,-0.267649084,-0.207188487,-0.204780474,-0.057885554,0.045013025,-0.034165762,0.015322566,-0.110201016,-0.320225656,-0.300830364,-0.004028178,0.049690053
317,-0.135562524,-0.116988286,-0.097719505,-0.099079706,-0.258652627,-0.43422997,-0.347599,-0.313366443,0.060237635,0.179624751,0.104085326,0.054776713,-0.208473071,-0.264918089,-0.206455499,-0.20374313,-0.060838372,0.046270296,-0.030932218,0.004517127,-0.102731891,-0.292954624,-0.261847198,0.012913961,0.08871565
357,-0.136418849,-0.117439777,-0.098080948,-0.095298931,-0.259225428,-0.428946942,-0.345001221,-0.289500862,0.062727712,0.179644629,0.095448121,0.05028227,-0.207615465,-0.263468117,-0.208031118,-0.208864629,-0.063981488,0.04568167,-0.030942587,0.000722066,-0.10298042,-0.259839088,-0.245927319,0.063724726,0.074968874
396,-0.132161185,-0.115451686,-0.098026156,-0.092010163,-0.258086503,-0.422774225,-0.341659755,-0.289669335,0.064470202,0.180415645,0.09609472,0.032281235,-0.202094942,-0.263448328,-0.205604225,-0.206883445,-0.060678095,0.045561776,-0.031653538,-0.008388804,-0.102456011,-0.276765615,-0.249509737,-0.007718046,0.06217264
436,-0.120099649,-0.110590428,-0.100990497,-0.089670539,-0.257022053,-0.419723153,-0.339466482,-0.298912108,0.065367416,0.17951031,0.095412202,0.060111657,-0.193349272,-0.26055494,-0.204204172,-0.201662511,-0.045025885,0.046112977,-0.031281538,-0.018803895,-0.103391111,-0.291139752,-0.279579401,0.058031913,0.075489029
515,-0.117027543,-0.104848385,-0.092006892,-0.083237976,-0.243489012,-0.384871274,-0.333346277,-0.288501918,0.064887539,0.163209915,0.106354013,0.080146991,-0.187521622,-0.254822522,-0.20184809,-0.203425974,-0.044943474,0.042525183,-0.028901964,-0.031653471,-0.095298178,-0.220564991,-0.255144596,0.049428839,0.123690553
555,-0.111408189,-0.100898631,-0.090182208,-0.084087268,-0.246169269,-0.378107458,-0.299342304,-0.268209666,0.065690905,0.162769347,0.106411003,0.07016445,-0.18146202,-0.249364391,-0.201873139,-0.20157209,-0.039877135,0.036256615,-0.036437377,-0.012819665,-0.092903338,-0.21473904,-0.245278969,0.035587262,0.105462417
595,-0.107487217,-0.097827971,-0.088333741,-0.077385761,-0.243973464,-0.354992926,-0.30991298,-0.277308822,0.068453573,0.149182871,0.102417454,0.063785382,-0.174906954,-0.247315928,-0.202132553,-0.201530859,-0.03842311,0.035140418,-0.023264373,-0.020118816,-0.090698093,-0.237769455,-0.236273959,-0.004003192,0.063613802
634,-0.103385687,-0.095722616,-0.088565215,-0.075125024,-0.242705256,-0.351560444,-0.307578444,-0.263754129,0.070397407,0.141881377,0.099674106,0.05665426,-0.170459628,-0.242109656,-0.202576146,-0.201737151,-0.034888431,0.028365515,-0.025024222,-0.007211944,-0.090325177,-0.217929929,-0.229939476,0.046363819,0.067492716
674,-0.110623114,-0.09930145,-0.088110618,-0.075460978,-0.238917351,-0.325841367,-0.238663658,-0.220967904,0.065450318,0.1184173,0.104243748,0.075011156,-0.180448756,-0.237738505,-0.194283724,-0.206348434,-0.039462615,0.027968951,-0.038162671,-0.002329171,-0.09088698,-0.197435305,-0.182007328,0.063156515,0.11113894
754,-0.116966605,-0.096807621,-0.075131893,-0.073758788,-0.234229997,-0.308211058,-0.308731943,-0.279956996,0.067546353,0.111184143,0.10083475,0.071366459,-0.185354874,-0.224852338,-0.197001621,-0.19420521,-0.046981499,0.021549085,-0.034540586,-0.004092829,-0.08071968,-0.281322747,-0.25133273,0.063476801,0.130698949
793,-0.116542697,-0.097769797,-0.078033201,-0.073731519,-0.235345408,-0.311794937,-0.309055477,-0.278831452,0.072128072,0.107830897,0.102159224,0.067348681,-0.184127077,-0.211799622,-0.196910977,-0.193482682,-0.047477935,0.018266452,-0.033490762,-0.003065182,-0.083035909,-0.279408157,-0.249354407,0.063261218,0.072962634
833,-0.114247322,-0.095305286,-0.075714491,-0.073099397,-0.233984843,-0.31224677,-0.312546253,-0.267028838,0.071445763,0.106857084,0.103818871,0.073427722,-0.181605563,-0.218771636,-0.197057545,-0.194001645,-0.045400929,0.018938612,-0.016502557,-0.01471844,-0.080658466,-0.244056642,-0.228891879,0.063391596,0.097076707
872,-0.113735594,-0.094716057,-0.07527668,-0.072474889,-0.234320685,-0.312229484,-0.303944558,-0.270460993,0.074159443,0.110149935,0.100917809,0.06225514,-0.180899009,-0.215783954,-0.195108205,-0.192264199,-0.045062806,0.016082902,-0.031664964,-0.029976711,-0.080170073,-0.223206356,-0.245043293,0.015566435,0.074312784
912,-0.115325451,-0.095398597,-0.075246669,-0.072279982,-0.234356418,-0.317262858,-0.304964155,-0.27706936,0.073314875,0.109619215,0.101085335,0.064681098,-0.182215631,-0.220882386,-0.196394011,-0.195015222,-0.047025312,0.015665412,-0.034192637,-0.033966281,-0.080340698,-0.231928676,-0.252318382,0.015573868,0.094678782
991,-0.106785618,-0.09031681,-0.072344676,-0.072275735,-0.234067097,-0.322204471,-0.308926791,-0.274454117,0.075269595,0.117076397,0.101077877,0.065957502,-0.173297316,-0.222757936,-0.195611581,-0.197137177,-0.038745981,0.01710956,-0.033658497,-0.001593821,-0.07677529,-0.223087773,-0.236063808,0.015634393,0.097720042
1031,-0.115534537,-0.096873254,-0.077413276,-0.070356302,-0.232645392,-0.3317478,-0.311429471,-0.274822265,0.072859183,0.12629807,0.102600969,0.068236016,-0.182500586,-0.223556519,-0.1942904,-0.189378157,-0.046892799,0.022185303,-0.033789571,-7.34E-05,-0.082327642,-0.219394848,-0.254612178,0.012866258,0.092014015
1071,-0.099850357,-0.089264989,-0.07758256,-0.071332343,-0.23104465,-0.344547987,-0.31018573,-0.266366959,0.064666152,0.125076219,0.108757876,0.085347809,-0.166942179,-0.22556527,-0.195465818,-0.1907987,-0.03098128,0.030923821,-0.031485029,-0.007634329,-0.080109529,-0.22857967,-0.23317802,0.063246086,0.142229497
1111,-0.094613381,-0.084845409,-0.075427972,-0.073658474,-0.229106396,-0.346781254,-0.314832717,-0.309636235,0.074242353,0.136444792,0.10290096,0.081687354,-0.164339632,-0.23176828,-0.195835695,-0.196111724,-0.023294147,0.035776485,-0.033534009,-0.011880545,-0.07774131,-0.291532516,-0.274372846,0.077806756,0.126989067
1190,-0.098151147,-0.086787641,-0.074988946,-0.074968599,-0.229060501,-0.364993006,-0.318371356,-0.304368705,0.073092841,0.144600019,0.103727102,0.0824522,-0.16809006,-0.227118015,-0.186376274,-0.24068363,-0.026818978,0.035778914,-0.044097047,0.011791751,-0.077986941,-0.276097357,-0.275596201,0.096010104,0.142831355
1230,-0.114871107,-0.094752751,-0.07563407,-0.075781755,-0.233498678,-0.349179924,-0.301123977,-0.300622046,0.074055418,0.149507806,0.100407623,0.083291866,-0.18884407,-0.228666827,-0.185898989,-0.220784903,-0.039567038,0.037352502,-0.043559246,0.014646452,-0.080420017,-0.289883494,-0.263110518,0.092034839,0.099365041
1269,-0.125026971,-0.101881273,-0.078595661,-0.073331095,-0.234576568,-0.359056592,-0.292849183,-0.313121289,0.072116129,0.153150946,0.078627199,0.044964589,-0.200244337,-0.232579574,-0.184287339,-0.213372484,-0.048337571,0.038963243,-0.041684456,0.034150694,-0.084482186,-0.294538409,-0.265861332,0.018185718,0.095546179
1309,-0.079149887,-0.078818217,-0.078355864,-0.07555978,-0.238456413,-0.385537446,-0.273647815,-0.250079423,0.073583759,0.158255979,0.112005115,0.103559129,-0.155103564,-0.235062122,-0.183076546,-0.212727129,-0.002092321,0.040641371,-0.037257902,0.045599855,-0.079700582,-0.204806313,-0.213467211,0.096090555,0.104329407
1349,-0.081895798,-0.078477785,-0.073015839,-0.073926285,-0.23873876,-0.384584844,-0.273743957,-0.24630022,0.068855792,0.156830341,0.112502709,0.096460745,-0.158391923,-0.23643516,-0.183624417,-0.208687067,-0.004166985,0.040849421,-0.03511532,0.022791404,-0.07474,-0.204863176,-0.215168715,0.093230084,0.099901155
1429,-0.102888204,-0.092763528,-0.089148439,-0.073401317,-0.236595392,-0.38297075,-0.303804517,-0.27294147,0.070507362,0.153703153,0.108568408,0.081459671,-0.178357601,-0.252666026,-0.191639587,-0.192371964,-0.02605739,0.047619715,-0.031008139,-0.004027514,-0.090038188,-0.236458376,-0.241157398,0.06807784,0.09797731
1468,-0.106156103,-0.098853007,-0.091550134,-0.070459411,-0.242970616,-0.385223836,-0.327644169,-0.292207748,0.071782082,0.148725435,0.109107994,0.081960723,-0.182348326,-0.252555817,-0.194237396,-0.194245204,-0.028552147,0.047446042,-0.030229174,-0.005478332,-0.093404181,-0.292470694,-0.258730233,0.079147033,0.097440764
1507,-0.129158512,-0.106258199,-0.08230821,-0.072036751,-0.240345761,-0.384440213,-0.328393489,-0.28836298,0.068835251,0.142630011,0.106096976,0.08679577,-0.20431149,-0.252469361,-0.19483681,-0.192054689,-0.052468881,0.047118708,-0.030533334,-0.004318375,-0.088630714,-0.299689204,-0.262723684,0.079102576,0.100487731
1547,-0.12860699,-0.10543593,-0.081710033,-0.073085479,-0.240982443,-0.386627287,-0.329950124,-0.288693547,0.068899028,0.133887708,0.109560393,0.08594504,-0.203602046,-0.252349198,-0.196076825,-0.20094116,-0.05200009,0.04689347,-0.030506691,-0.003756281,-0.087838501,-0.29812482,-0.267299265,0.083753884,0.092586212
1587,-0.125603572,-0.103237502,-0.083400667,-0.072212182,-0.242616847,-0.38370201,-0.322559863,-0.309059948,0.059907183,0.128892139,0.104569182,0.110091656,-0.200399265,-0.251648366,-0.195886329,-0.19073914,-0.049210317,0.046341095,-0.031068526,0.010051532,-0.088211775,-0.292327523,-0.27384007,0.085308366,0.085078552
1667,-0.126723349,-0.107933789,-0.092441492,-0.080521882,-0.256239682,-0.378020883,-0.328710228,-0.304449707,0.05818484,0.11170885,0.068489835,0.04415578,-0.199683145,-0.252519876,-0.199675947,-0.19494991,-0.051619191,0.040539034,-0.028863905,0.008479804,-0.09588144,-0.296046883,-0.267111182,0.043211322,0.062915795
1706,-0.130617052,-0.114993811,-0.096936151,-0.086082056,-0.261689395,-0.374319643,-0.33022657,-0.294517398,0.052369013,0.098391391,0.075637385,0.060533222,-0.203463301,-0.252226979,-0.199964747,-0.194654822,-0.055734377,0.040945429,-0.028741054,0.00533382,-0.101553716,-0.295060962,-0.258517176,0.055327725,0.084173597
1745,-0.13600181,-0.118971117,-0.101123422,-0.090145059,-0.264760166,-0.363898188,-0.335979253,-0.312501669,0.052099373,0.091389835,0.075313739,0.089656606,-0.210977823,-0.253262937,-0.202049047,-0.192547202,-0.058626737,0.038164649,-0.028216131,0.006216193,-0.105599307,-0.301880211,-0.286032796,0.04148411,0.089548483
1785,-0.13655369,-0.120668069,-0.104632311,-0.094590314,-0.27077052,-0.352602273,-0.336102754,-0.318070382,0.043615382,0.087317467,0.072274707,0.080045193,-0.211901367,-0.255739957,-0.20209986,-0.191577226,-0.05890663,0.037686463,-0.030502332,0.007654943,-0.108630866,-0.303129435,-0.285260916,0.104581423,0.040412098
1905,-0.100198515,-0.169901878,-0.264342904,-0.202041909,-0.320023,-0.374601901,-0.249842227,-0.24928914,-0.060453184,0.068627276,0.041821003,0.055913989,-0.162949115,-0.256606549,-0.202239558,-0.200007066,-0.035259347,0.037426665,-0.017545182,0.013323469,-0.243504614,-0.238874763,-0.220312238,0.064335868,0.029315457
1944,-0.108123347,-0.142481193,-0.176105723,-0.179741979,-0.318812877,-0.372048885,-0.217621714,-0.201736942,0.027687335,0.095795006,0.039189786,0.014115265,-0.172167554,-0.255704463,-0.202047765,-0.194355726,-0.042622168,0.038311478,-0.010628266,0.025692958,-0.167816877,-0.191417307,-0.172980383,0.012205793,-0.019879233
1983,-0.092096515,-0.116997108,-0.141677544,-0.167590991,-0.31649524,-0.363381326,-0.203836769,-0.177838281,0.062081669,0.130083278,0.090237714,0.045830879,-0.154079199,-0.255568862,-0.201331347,-0.217771485,-0.028817279,0.038517978,-0.006394443,0.047104046,-0.135598749,-0.167563409,-0.149186388,-0.006575284,0.016828945
2024,-0.073510095,-0.096229911,-0.117715426,-0.164457917,-0.285073817,-0.35455808,-0.20853208,-0.160134584,0.08601439,0.153941691,-0.03608777,-0.09932217,-0.137486264,-0.256584138,-0.20316419,-0.199244782,-0.007954443,0.042510141,0.017635336,0.038238138,-0.11248704,-0.149914011,-0.131605923,-0.151443124,-0.127664775
2063,-0.079102375,-0.105292954,-0.132176951,-0.149689063,-0.28462404,-0.356704295,-0.254398286,-0.220573738,0.071568966,0.139540672,-0.037534352,-0.096459381,-0.14182438,-0.256587833,-0.203714833,-0.200146183,-0.015413163,0.04249268,0.017942106,0.046457272,-0.125388011,-0.210236788,-0.191774398,-0.148586333,-0.124817625
2143,-0.117577508,-0.144179866,-0.171166301,-0.183096886,-0.321756512,-0.394441634,-0.282214373,-0.280568302,0.032626703,0.013582403,0.033463284,0.048216388,-0.179373696,-0.25916484,-0.205402747,-0.202224493,-0.055290148,0.046564706,0.018414687,0.041260473,-0.164423108,-0.289786786,-0.296151072,0.057170149,0.063129678
2182,-0.109567292,-0.13912046,-0.169931665,-0.181851089,-0.320523769,-0.393212438,-0.276114434,-0.281762898,0.033860873,0.016152207,0.020357501,0.007926448,-0.172731072,-0.254944742,-0.20552513,-0.198457345,-0.044959176,0.038754478,0.016870266,0.022370622,-0.163219616,-0.289587349,-0.292815298,-0.012546446,0.017070174
2221,-0.086770535,-0.117513321,-0.148220941,-0.159930378,-0.297800422,-0.370557219,-0.244324803,-0.254079103,0.056582652,0.044903655,-0.016698288,-0.029443521,-0.148286209,-0.25998196,-0.204413265,-0.201186731,-0.024080707,0.05015862,0.017460005,0.019122014,-0.142407954,-0.24226813,-0.252942413,-0.041241132,-0.055774849
2262,-0.089864664,-0.119079314,-0.148363039,-0.160073847,-0.297348529,-0.370106697,-0.244303033,-0.257102758,0.057034489,0.0449671,-0.021912539,-0.047702312,-0.151856899,-0.260538012,-0.204462379,-0.201235995,-0.027730033,0.052114949,0.015127517,0.047961004,-0.142507747,-0.252261102,-0.259382814,-0.065829873,-0.058538873
2301,-0.095095001,-0.121882305,-0.148773327,-0.190167546,-0.295830667,-0.368593305,-0.243762791,-0.256497711,0.031891458,0.01644999,0.034510385,0.007857526,-0.158293337,-0.260591179,-0.204905167,-0.209396273,-0.03168219,0.052659396,0.018556861,0.043489087,-0.142956108,-0.251861215,-0.258651823,0.007912626,0.007788054
2381,-0.099154949,-0.124248132,-0.150218636,-0.18255204,-0.293653458,-0.366422683,-0.242616147,-0.238503844,0.018270383,0.002868823,0.026651729,0.024348218,-0.162971869,-0.260635585,-0.205149874,-0.212546021,-0.034626037,0.052394621,0.018798091,0.044345044,-0.144211441,-0.209845901,-0.265425622,-0.004322076,0.004760565
2420,-0.099336177,-0.124279574,-0.150077179,-0.171120167,-0.291677654,-0.364452809,-0.248443514,-0.268043995,0.018009573,0.002608744,0.026541,0.043888453,-0.163181469,-0.260766536,-0.205819085,-0.213507861,-0.034818739,0.052535199,0.018860692,0.045551948,-0.144110471,-0.239327356,-0.294979095,0.0318041,0.019740148
2459,-0.100776277,-0.12501438,-0.150371656,-0.16957961,-0.29128617,-0.364062488,-0.249283582,-0.270732969,0.017233016,0.00183445,0.025892172,0.046351843,-0.164798543,-0.262082011,-0.206123784,-0.213994011,-0.035841648,0.051561024,0.018938981,0.045339767,-0.144363329,-0.242017031,-0.29766795,0.031884618,0.025797985
