MilliSeconds,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
0,-0.105195314,-0.0997499,-0.094076991,-0.10087394,-0.26032418,-0.326610595,-0.359909892,-0.361929953,0.056820191,0.114015788,0.113154508,0.090549946,-0.176218227,-0.214173451,-0.233056366,-0.233886719,-0.032099094,-0.036998857,-0.068688907,-0.047119141,-0.095543332,-0.359121531,-0.319874287,0.074367546,0.134119779
39,-0.105355211,-0.100685798,-0.095981166,-0.099908113,-0.260068029,-0.332959026,-0.363201618,-0.367206186,0.056681458,0.11326167,0.112956755,0.089079045,-0.176407143,-0.216427937,-0.242213622,-0.235737473,-0.032211792,-0.037531167,-0.068549283,-0.046985831,-0.097187385,-0.363462478,-0.340214372,0.076901712,0.124557808
80,-0.106114589,-0.104059227,-0.101724289,-0.102167107,-0.26568839,-0.339515269,-0.365604967,-0.373794973,0.051820036,0.105704747,0.111204475,0.086047433,-0.17723529,-0.226176053,-0.247016802,-0.255843073,-0.032868821,-0.039394267,-0.071409747,-0.046656683,-0.102352746,-0.365660459,-0.330368638,0.070511408,0.142414272
119,-0.110458054,-0.107316077,-0.103854179,-0.10829825,-0.270348638,-0.3498725,-0.387794077,-0.377844483,0.045728095,0.097133286,0.099226527,0.078479566,-0.181450963,-0.229835853,-0.251502723,-0.257324666,-0.037236616,-0.042603672,-0.069575578,-0.047422938,-0.104774103,-0.370220065,-0.340339899,0.07014107,0.145566374
158,-0.117304124,-0.116926417,-0.116372816,-0.111496836,-0.27629438,-0.351248711,-0.381953716,-0.385018587,0.035975698,0.09295328,0.09694472,0.078355074,-0.188540056,-0.234208092,-0.254671812,-0.258295923,-0.04369051,-0.04628215,-0.069950245,-0.04782287,-0.116558895,-0.372321695,-0.35131377,0.055612404,0.138348401
238,-0.131043106,-0.129791766,-0.127816081,-0.128498137,-0.292287588,-0.36441648,-0.396380842,-0.398436069,0.023774555,0.083273008,0.094410315,0.077361174,-0.201774731,-0.2500211,-0.259193629,-0.264975339,-0.057638131,-0.056794051,-0.078353189,-0.047603838,-0.128413528,-0.375658214,-0.364908546,0.069489196,0.115843773
278,-0.135368094,-0.137810722,-0.139837578,-0.13549757,-0.299149215,-0.37392354,-0.397239894,-0.40431723,0.017935544,0.078089714,0.093527935,0.076308332,-0.205794752,-0.251762778,-0.260187835,-0.265237421,-0.062103909,-0.058237087,-0.079274766,-0.043976799,-0.13942641,-0.402283221,-0.368177354,0.071360417,0.11270646
318,-0.139216661,-0.141857028,-0.14352496,-0.141477615,-0.304392397,-0.380229622,-0.404375464,-0.413917452,0.009334555,0.073630415,0.09220928,0.079568602,-0.209511444,-0.254214585,-0.26013568,-0.26620993,-0.065998361,-0.057810634,-0.072424389,-0.03130671,-0.143231153,-0.406677783,-0.378441721,0.066743799,0.109969035
357,-0.15646556,-0.155490682,-0.152515754,-0.149925992,-0.313656211,-0.38860026,-0.422532439,-0.420267075,0.00261381,0.06796857,0.090793975,0.080690868,-0.22614634,-0.255846441,-0.259114265,-0.264795393,-0.083563887,-0.055976629,-0.057158127,-0.014575899,-0.153438434,-0.435395688,-0.377578259,0.077932291,0.118818216
397,-0.163148224,-0.159366891,-0.15523605,-0.156054571,-0.324489087,-0.392573565,-0.426562667,-0.429059178,-0.001526762,0.063832186,0.089984402,0.082434408,-0.233924359,-0.258981556,-0.258654922,-0.265753627,-0.088974744,-0.050200511,-0.048828166,-0.01147303,-0.15635708,-0.42389369,-0.3905451,0.07084807,0.118084021
476,-0.166930735,-0.167646378,-0.16768077,-0.168846831,-0.335362077,-0.402266949,-0.445072293,-0.44479993,-0.006877356,0.056818679,0.086173162,0.07568524,-0.237734914,-0.262753099,-0.257136703,-0.264146507,-0.092538312,-0.051387344,-0.060233336,-0.013783939,-0.167778656,-0.436238468,-0.379467189,0.078570925,0.107496329
515,-0.16588223,-0.16736047,-0.168205947,-0.170733646,-0.337090582,-0.407097936,-0.443085551,-0.448986351,-0.012851732,0.053995583,0.082701787,0.070933565,-0.236168519,-0.263201863,-0.256042153,-0.264211088,-0.091915764,-0.049363147,-0.076092698,-0.032897949,-0.168107286,-0.446629196,-0.386277407,0.060943678,0.106602266
556,-0.163514078,-0.168566272,-0.173526958,-0.171464711,-0.342401832,-0.40917775,-0.450658232,-0.454154313,-0.01623074,0.053783949,0.0780048,0.064476274,-0.233893827,-0.263551533,-0.253000766,-0.263640553,-0.089642525,-0.051389653,-0.082398787,-0.043579102,-0.172345281,-0.458016932,-0.383858949,0.057201609,0.10258662
595,-0.164261788,-0.170490801,-0.176095009,-0.17278713,-0.342202187,-0.410980403,-0.450383544,-0.456552505,-0.01704338,0.051539559,0.079316594,0.06112282,-0.234785482,-0.265121222,-0.252114862,-0.263951898,-0.090177722,-0.054424837,-0.082725778,-0.044372559,-0.174809784,-0.458294541,-0.405531943,0.05981309,0.095836177
675,-0.16306138,-0.167577729,-0.171373606,-0.174751014,-0.338349819,-0.412495196,-0.455181807,-0.459295064,-0.012231779,0.053709049,0.080746144,0.059702892,-0.233252913,-0.26336658,-0.25511536,-0.264454991,-0.089237586,-0.061182421,-0.075113967,-0.049163818,-0.170551971,-0.45114547,-0.417452097,0.062025592,0.092462502
