Frames,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
0,-0.16552414,0.068529062,0.299757928,0.428214669,0.202466518,0.016414199,-0.101262517,-0.129099682,0.201601177,-0.016075715,-0.157025024,-0.179803327,-0.164273709,-0.257922411,-0.637528539,-0.717346013,-0.164666578,-0.313827336,-0.637506366,-0.694475353,0.242348418,-0.161495656,-0.110780023,-0.22453393,-0.161104679
78,-0.184135929,0.056431223,0.277959764,0.3999798,0.205916539,0.027308829,-0.122295968,-0.138217315,0.195004866,-0.003967687,-0.126788199,-0.167514265,-0.18095921,-0.261953354,-0.634980023,-0.707819462,-0.184960127,-0.243458763,-0.635788083,-0.701114178,0.222938448,-0.17104353,-0.121759497,-0.197462618,-0.175040245
119,-0.183409467,0.05161893,0.273373812,0.390797585,0.201506719,0.028591456,-0.121963635,-0.129608437,0.192615062,-0.007319039,-0.162015826,-0.171640083,-0.180420637,-0.261951983,-0.633680582,-0.706546664,-0.184093446,-0.243278295,-0.636055946,-0.700879693,0.217709661,-0.141270757,-0.116356216,-0.202802673,-0.174162477
158,-0.182946488,0.042770155,0.26363343,0.386222303,0.198940709,0.027567895,-0.130927339,-0.135021865,0.184558183,0.003572163,-0.159439564,-0.162996992,-0.179422587,-0.263962001,-0.631615937,-0.708554327,-0.184037745,-0.246502951,-0.635763288,-0.700007617,0.208871648,-0.152461454,-0.140335351,-0.1780072,-0.169433504
197,-0.191590771,0.035087142,0.257716537,0.378953129,0.198890686,0.043632213,-0.126496896,-0.133869559,0.181512192,0.011013366,-0.136192456,-0.171697512,-0.186356843,-0.26013723,-0.62914288,-0.709038258,-0.194477931,-0.248511106,-0.636046708,-0.700627208,0.202337995,-0.159004241,-0.14258042,-0.2152071,-0.171724111
238,-0.165886998,0.045670908,0.254423231,0.374301702,0.204479516,0.047738913,-0.123673216,-0.135482088,0.184996113,0.022431809,-0.135856912,-0.17486608,-0.159297198,-0.261145741,-0.63129735,-0.696837485,-0.170217022,-0.24898085,-0.63555187,-0.701033056,0.203261063,-0.162227452,-0.124759898,-0.226541847,-0.172848389
317,-0.141153604,0.063273564,0.266132027,0.396058232,0.223488644,0.059784852,-0.116687171,-0.13585481,0.196229726,0.046654291,-0.131570935,-0.149319038,-0.133404151,-0.258518308,-0.631045043,-0.701196492,-0.146949142,-0.24327071,-0.635648608,-0.714556813,0.215909109,-0.163743094,-0.127484664,-0.20378086,-0.180549636
357,-0.125900581,0.081380054,0.284466982,0.419036865,0.227889791,0.068387538,-0.111582063,-0.140623868,0.226142675,0.050544713,-0.127381384,-0.139748126,-0.122142181,-0.257002205,-0.62247628,-0.69455874,-0.127399579,-0.240690261,-0.63294822,-0.714755654,0.234255329,-0.195459068,-0.133042693,-0.175738558,-0.153071806
396,-0.112951025,0.092171736,0.294708222,0.426720798,0.231601611,0.072226129,-0.109286383,-0.140341833,0.232080892,0.054499771,-0.125477344,-0.153517455,-0.10949073,-0.255310386,-0.626772642,-0.699064493,-0.114941351,-0.240170702,-0.628495455,-0.713894308,0.244436949,-0.18448697,-0.127717197,-0.219232112,-0.151114583
436,-0.072883487,0.132010028,0.335115165,0.466872215,0.269848496,0.081761248,-0.10141734,-0.139633641,0.251952231,0.066901371,-0.115722433,-0.121118017,-0.072806858,-0.25132367,-0.622792244,-0.696452022,-0.071806803,-0.237720057,-0.628636241,-0.7160905,0.284659922,-0.165268973,-0.126833469,-0.136120051,-0.136860013
515,-0.031473193,0.186115116,0.401500821,0.53768903,0.328840733,0.151742816,-0.07207635,-0.092870384,0.308139056,0.115402192,-0.07966578,-0.073371097,-0.028517623,-0.227560133,-0.625155449,-0.697628498,-0.033707183,-0.22117433,-0.62199837,-0.694511831,0.348037928,-0.155744702,-0.082141146,-0.103661761,-0.084890626
555,-0.000863376,0.217666328,0.432887673,0.576896846,0.356162101,0.148729801,-0.046164826,-0.089555204,0.334305108,0.116755947,-0.079489917,-0.063636124,0.002295345,-0.21139507,-0.622336447,-0.694461107,-0.004038319,-0.207058966,-0.616180718,-0.70237577,0.379578382,-0.158846229,-0.063872896,-0.086801857,-0.090410948
595,0.016439965,0.244702876,0.472956508,0.61375773,0.37519449,0.185855016,-0.054316279,-0.075183496,0.367060333,0.132848263,-0.066398919,-0.065532677,0.018961614,-0.212482587,-0.621396303,-0.692546964,0.013922861,-0.206188351,-0.623673499,-0.709613442,0.416071236,-0.139943257,-0.070435464,-0.124871314,-0.107806943
