MilliSeconds,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
0,0.168817759,0.485205829,0.794290125,0.953191161,0.666291237,0.378128827,0.139270544,0.086711407,0.652983189,0.38925606,0.151889399,0.080643997,0.170192316,-0.23693943,-0.587943256,-0.62890625,0.164120242,-0.265081197,-0.626886368,-0.677246094,0.718086243,-0.008176759,0.076706596,-0.000717729,0.067668907
39,0.165807277,0.482620031,0.79227972,0.951048195,0.665431321,0.40175575,0.139015257,0.084486902,0.653948963,0.390339404,0.155531332,0.079071641,0.166940942,-0.237770602,-0.581208467,-0.63058877,0.161489382,-0.268711537,-0.619965672,-0.677186012,0.71591723,-0.01923796,0.039931543,-0.008509366,0.039412975
80,0.151325166,0.473787785,0.788296998,0.946807384,0.657803535,0.381887645,0.143986747,0.078508027,0.653380573,0.385463744,0.151370481,0.077777632,0.149801612,-0.240556628,-0.586992562,-0.632988989,0.149709538,-0.273386389,-0.621233165,-0.679463148,0.710777998,-0.019944351,0.038848795,-0.009339407,0.097099803
119,0.150972024,0.471506149,0.78449285,0.941757917,0.653870225,0.342475623,0.104348302,0.072410032,0.645740509,0.370576918,0.132854804,0.064785466,0.150948033,-0.243510634,-0.587322176,-0.639347672,0.147900328,-0.273335397,-0.616171241,-0.678517342,0.707331598,-0.029511547,0.060512185,-0.019584848,0.109005354
158,0.142432123,0.46333766,0.776609957,0.935495198,0.644731104,0.377728909,0.13715668,0.062569916,0.636959076,0.37984702,0.132370174,0.063077144,0.142634928,-0.240476906,-0.593692064,-0.649891555,0.139372244,-0.273847252,-0.616508663,-0.678748071,0.699394286,-0.030565169,0.055009864,-0.03031395,0.079377048
238,0.126082554,0.450758904,0.767298818,0.922080278,0.63350594,0.349787951,0.098957397,0.046104781,0.634805381,0.357834846,0.118031189,0.051177137,0.124198362,-0.247002825,-0.608047485,-0.664929628,0.125150517,-0.286651134,-0.617035568,-0.67801553,0.689318061,-0.049736612,0.058896996,-0.03821668,0.018136613
278,0.119092956,0.444718093,0.762779832,0.92269516,0.630582333,0.334713578,0.074851207,0.024380784,0.632299304,0.34935987,0.10814511,0.039878473,0.117577799,-0.245476723,-0.617864728,-0.667428851,0.118119106,-0.295719415,-0.618169844,-0.682041407,0.684376299,-0.049479999,0.020817839,-0.048282266,0.016494047
318,0.130969867,0.449515969,0.763055325,0.921899617,0.629955769,0.342540622,0.076595612,0.022433013,0.634289682,0.355463356,0.113637067,0.040186282,0.128239095,-0.241290763,-0.617658079,-0.669599652,0.131013036,-0.297693878,-0.615167856,-0.680158675,0.685557067,-0.05000329,-0.005711307,-0.048391704,0.010542333
357,0.135126725,0.455938786,0.768932462,0.927456796,0.635349989,0.347051561,0.107687011,0.040238041,0.638690472,0.356241763,0.114661455,0.031462707,0.135308877,-0.243540958,-0.614398181,-0.673604369,0.132114559,-0.27502504,-0.601469874,-0.66828078,0.691835999,-0.011262653,0.032481931,-0.038925231,0.016226172
397,0.13943246,0.459605873,0.772029877,0.932325959,0.642137527,0.375147194,0.127109006,0.049025647,0.639155686,0.3527399,0.11246451,0.033626489,0.140575409,-0.248374,-0.614239633,-0.674718559,0.135396689,-0.267901123,-0.592249811,-0.662422955,0.695048511,-0.038983706,0.028915903,-0.040342174,0.019582041
