Frames,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
0,4.47021246,4.448458195,4.417173386,4.386425972,4.416555405,4.430021763,4.2754035,4.248764038,4.43226862,4.477002144,4.251927853,4.168456554,4.441716194,4.122817039,4.136808395,4.074894905,4.441779137,4.150206089,4.164189339,4.089790344,4.426816463,4.157055378,4.242800236,4.113120079,4.145166397
78,4.502408504,4.443147659,4.355834484,4.321980953,4.356532574,4.380245686,4.269975662,4.248195648,4.362586498,4.445757866,4.285447598,4.195528507,4.471884251,4.1155653,4.134820461,4.062901974,4.475174904,4.154714108,4.169408798,4.110080719,4.382683754,4.160670757,4.224999905,4.146192551,4.1432724
119,4.505325317,4.431560516,4.324204922,4.284976482,4.322837353,4.378047466,4.264671326,4.248521328,4.351254463,4.41422224,4.290430069,4.187202454,4.473165989,4.115622044,4.134572506,4.064430237,4.480347633,4.154406548,4.170472145,4.108767509,4.352387428,4.201315403,4.237166405,4.133982658,4.157666683
158,4.499317646,4.395438671,4.286128044,4.233759403,4.29850626,4.348936081,4.257671356,4.221304417,4.30019331,4.39014864,4.286489487,4.231991291,4.465227127,4.113786221,4.135168076,4.066492081,4.475484371,4.143177986,4.168655396,4.105702877,4.315847874,4.168406963,4.186285973,4.187927246,4.25949955
197,4.477723122,4.374085426,4.259110928,4.208846569,4.26431942,4.314387798,4.246081829,4.21182251,4.280411243,4.360796452,4.239469051,4.179191589,4.445447922,4.111950397,4.132655621,4.071773529,4.451797485,4.139796734,4.168246269,4.103246689,4.289621353,4.141591072,4.156499863,4.134115219,4.146800518
238,4.462159634,4.347774982,4.21273756,4.163094044,4.228066921,4.301512718,4.240119457,4.207636356,4.243700981,4.342058659,4.237483501,4.169538498,4.427089214,4.108887196,4.131829739,4.023901463,4.439031124,4.131296635,4.165275097,4.108065605,4.249654293,4.151932716,4.194916725,4.134835243,4.134833336
317,4.447924614,4.319205284,4.175918579,4.119456291,4.170836926,4.252714157,4.212395668,4.17040205,4.193171501,4.296009064,4.241732597,4.184048176,4.412990093,4.095229149,4.131313324,4.0246315,4.424978256,4.117191792,4.162388325,4.116155624,4.214096546,4.119381428,4.17437458,4.131045818,4.141600609
357,4.43388176,4.295076847,4.14643383,4.090920448,4.162421227,4.228708744,4.194272041,4.143164635,4.156583786,4.273264885,4.229116917,4.166270733,4.403077126,4.090433121,4.127053738,4.020783901,4.406160355,4.110805511,4.159799099,4.115843296,4.185346603,4.076535225,4.154167175,4.134558201,4.131999969
396,4.422329903,4.286251068,4.139623165,4.081459522,4.158017159,4.220804691,4.182817459,4.134875298,4.149277687,4.262504101,4.225810051,4.148807049,4.388978958,4.086227894,4.127784729,4.020598888,4.397527695,4.109735012,4.156103134,4.113285542,4.178176403,4.080032825,4.135416985,4.103552818,4.113222599
436,4.403789997,4.263875961,4.113737583,4.056186199,4.120245934,4.212078094,4.170800686,4.119962215,4.137630463,4.244439602,4.212707043,4.173232079,4.370517254,4.081098557,4.129458904,4.022523403,4.379288197,4.105446815,4.156641483,4.110159874,4.15318203,4.086788177,4.107250214,4.131066799,4.154999733
