MilliSeconds,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
0,3.906618357,3.893431187,3.867761374,3.860071898,3.862012148,3.892705441,3.874239922,3.877070189,3.844574928,3.867415667,3.811087608,3.808101177,3.869098425,3.719763517,3.679577827,3.560546875,3.867244244,3.934675217,4.01364994,3.9375,3.876541138,3.89881897,3.835999727,3.811326027,3.79460001
39,3.899278879,3.883477688,3.854613781,3.85061264,3.855792761,3.874441147,3.865808249,3.858104229,3.842502117,3.859694481,3.808094263,3.798221827,3.863529682,3.710271835,3.663770437,3.555162907,3.857727528,3.933042288,4.011449814,3.937620163,3.864246845,3.877273321,3.818099976,3.807581902,3.79537487
80,3.876632452,3.860665798,3.831273556,3.82288456,3.827685833,3.858065367,3.845430613,3.835336685,3.817825079,3.838619709,3.789725542,3.780933857,3.837566853,3.683778048,3.641069651,3.516751766,3.838172674,3.927987576,4.006231308,3.937057257,3.841076612,3.844765663,3.780666828,3.791160583,3.777833462
119,3.852468729,3.836729765,3.808549881,3.795531273,3.811255217,3.818763494,3.81275034,3.811919928,3.798396111,3.818659782,3.763917446,3.762505293,3.813793182,3.665131092,3.627203226,3.503877878,3.813645601,3.909634113,4.004252434,3.938097715,3.817961454,3.837866783,3.770181894,3.770680189,3.769166708
158,3.826588869,3.810776949,3.782072067,3.779314041,3.766810656,3.795505047,3.783247232,3.781671762,3.768048763,3.792536974,3.748551607,3.74399662,3.785046101,3.642916203,3.610824347,3.494770527,3.790426254,3.896322012,4.00472784,3.940083265,3.79165411,3.774327278,3.754562616,3.739994287,3.743555784
238,3.769040823,3.761327982,3.739396334,3.724165201,3.724086285,3.748468161,3.726657391,3.717867851,3.728419542,3.747836113,3.715401888,3.711638212,3.727509022,3.583377361,3.590592861,3.484149456,3.732570887,3.84453845,3.994034529,3.940882444,3.747407913,3.719171286,3.699199677,3.714641571,3.700545788
278,3.737046719,3.725074291,3.700928688,3.699436426,3.695567608,3.701789618,3.675452471,3.684384823,3.70516777,3.720099449,3.691482306,3.691601038,3.696455002,3.556127787,3.584820986,3.48330164,3.699809313,3.79774785,3.989342928,3.939074039,3.709300995,3.700020075,3.644999981,3.708267689,3.680571556
318,3.699149132,3.702676773,3.689087152,3.674000025,3.666344643,3.680238724,3.656986475,3.651557922,3.683480024,3.698634624,3.673803568,3.66552949,3.659756899,3.542646646,3.583971024,3.490068674,3.660476923,3.758840322,3.972334862,3.929323196,3.695263147,3.668323755,3.628249645,3.678015471,3.653687477
357,3.672959566,3.66884613,3.653556347,3.65127635,3.647922516,3.648446798,3.608759165,3.613193512,3.657235861,3.679943562,3.64731431,3.64035964,3.633709669,3.531337261,3.57949543,3.490540981,3.634114981,3.673601866,3.92237258,3.884851217,3.659549236,3.622309923,3.587555885,3.653098345,3.642800093
397,3.64184618,3.647362947,3.638184071,3.626949072,3.617876768,3.618959665,3.579715252,3.576898098,3.630190372,3.655359268,3.614962578,3.61531949,3.597839594,3.52201438,3.578440905,3.488199472,3.60769558,3.620874405,3.883634806,3.861527205,3.643000841,3.60137105,3.547777891,3.631015778,3.628546
